year,demCandidate,RepCandidate
2004,John Kerry 251,George W. Bush 286
2008,Barack Obama 365,John McCain 173
2012,Barack Obama 332,Mitt Romney 206
2016,Hillary Clinton 227, Donald Trump 304
2020,Joe Biden 306,Donald Trump 232
2024,Kamala Harris 226,Donald Trump 312
